FormID,EditorID,Name,References
04051C19,SUM_DwarvenBowDischarge04,Dwarven Short Bow of Depletion,0001CF6A
04051C28,SUM_DwarvenBowShiftingEarth04,Dwarven Short Bow of Druids,0001CE72
04052D07,SUM_DwarvenBowSlayLiving03,Dwarven Short Bow of Dust,0001CE72
04052D22,SUM_DwarvenBowFireHazard04,Dwarven Short Bow of Fire Blasts,0001CE5C
04052D26,SUM_DwarvenBowWeaknessToFire02,Dwarven Short Bow of Fire Vulnerability,0001CE5C
04052D16,SUM_DwarvenBowRoulette03,Dwarven Short Bow of Fortune,0001CE70
04052D1D,SUM_DwarvenBowFrostHazard04,Dwarven Short Bow of Freezing Blasts,0001CE6F
04051C2A,SUM_DwarvenBowFrenzy02,Dwarven Short Bow of Frenzy,0001CE5B
04052D21,SUM_DwarvenBowWeaknessToFrost02,Dwarven Short Bow of Frost Vulnerability,0001CE6F
04052D2D,SUM_DwarvenBowLaunch03,Dwarven Short Bow of Giants,0001CE5B
04052D02,SUM_DwarvenBowKillstreak04,Dwarven Short Bow of Gore,0001CE72
04052D15,SUM_DwarvenBowBleedDamage04,Dwarven Short Bow of Gutting,0001CE70
04052D2E,SUM_DwarvenBowFrenzy03,Dwarven Short Bow of Havoc,0001CE5B
04052D19,SUM_DwarvenBowBleedDamage03,Dwarven Short Bow of Hemorrhaging,0001CE70
04051C1D,SUM_DwarvenBowBattleHunger04,Dwarven Short Bow of Hunger,0001CE73
04052D29,SUM_DwarvenBowLaunch04,Dwarven Short Bow of Hurling,0001CE5B
04052D1F,SUM_DwarvenBowFrostHazard03,Dwarven Short Bow of Ice Blasts,0001CE6F
04051C21,SUM_DwarvenBowBattleHunger03,Dwarven Short Bow of Jinxes,0001CE73
04052D23,SUM_DwarvenBowWeaknessToFire04,Dwarven Short Bow of Lethal Fire,0001CE5C
04052D1E,SUM_DwarvenBowWeaknessToFrost04,Dwarven Short Bow of Lethal Frost,0001CE6F
04052D14,SUM_DwarvenBowWeaknessToPoison04,Dwarven Short Bow of Lethal Poison,0001CE70
04052D0E,SUM_DwarvenBowWeaknessToShock04,Dwarven Short Bow of Lethal Shocks,0001CE71
04051C26,SUM_DwarvenBowFireDmgLingering02,Dwarven Short Bow of Lingering Fire,0001CE73
04052D2C,SUM_DwarvenBowDeathsDoor03,Dwarven Short Bow of Mortality,0001CE5B
04051C13,SUM_DwarvenBowSunDamage03,Dwarven Short Bow of Noon,0001CF6A
04051C22,SUM_DwarvenBowFireDmgLingering03,Dwarven Short Bow of Pain,0001CE73
04051C1B,SUM_DwarvenBowSunDamage04,Dwarven Short Bow of Radiance,0001CF6A
04052D2A,SUM_DwarvenBowFrenzy04,Dwarven Short Bow of Rage,0001CE5B
04052D13,SUM_DwarvenBowPoisonDmg04,Dwarven Short Bow of Rot,0001CE70
04052D24,SUM_DwarvenBowFireHazard03,Dwarven Short Bow of Scorching Blasts,0001CE5C
04052D05,SUM_DwarvenBowShiftingEarth03,Dwarven Short Bow of Shifting Earth,0001CE72
04052D0F,SUM_DwarvenBowShockHazard03,Dwarven Short Bow of Shock Blasts,0001CE71
04052D11,SUM_DwarvenBowWeaknessToShock02,Dwarven Short Bow of Shock Vulnerability,0001CE71
04051C15,SUM_DwarvenBowDischarge02,Dwarven Short Bow of Shorting,0001CF6A
04051C29,SUM_DwarvenBowLaunch02,Dwarven Short Bow of Slinging,0001CE5B
04051C1E,SUM_DwarvenBowFireDmgLingering04,Dwarven Short Bow of Smoldering,0001CE73
04051C11,SUM_DwarvenBowDischarge03,Dwarven Short Bow of Spoliation,0001CF6A
04052D28,SUM_DwarvenBowDeathsDoor04,Dwarven Short Bow of the Fates,0001CE5B
04052D12,SUM_DwarvenBowRoulette04,Dwarven Short Bow of the Fool,0001CE70
04052D27,SUM_DwarvenBowBlindness04,Dwarven Short Bow of the Night,0001CE5B
04052D08,SUM_DwarvenBowPrimal03,Dwarven Short Bow of the Shaman,0001CE72
04052D04,SUM_DwarvenBowPrimal04,Dwarven Short Bow of the Skaal,0001CE72
04052D0D,SUM_DwarvenBowShockHazard04,Dwarven Short Bow of Thunder Blasts,0001CE71
04052D1B,SUM_DwarvenBowPoisonDmg02,Dwarven Short Bow of Venom,0001CE70
04051C27,SUM_DwarvenBowDisableRegeneration02,Dwarven Short Bow of Wasting,0001CE73
04051C1F,SUM_DwarvenBowDisableRegeneration04,Dwarven Short Bow of Wilting,0001CE73
04051C23,SUM_DwarvenBowDisableRegeneration03,Dwarven Short Bow of Withering,0001CE73
04052D1C,SUM_DwarvenBowBleedDamage02,Dwarven Short Bow of Wounding,0001CE70
0405276A,SUM_EbonyBowRoulette06,Ebony Short Bow of Absurdity,00089D5A
04052763,SUM_EbonyBowHiddenSerpent05,Ebony Short Bow of Adders,00089D5B
0405274B,SUM_EbonyBowSlayLiving06,Ebony Short Bow of Annihilation,00089D5D
04052753,SUM_EbonyBowSlayLiving04,Ebony Short Bow of Ashes,00089D5D
0405275E,SUM_EbonyBowHiddenSerpent06,Ebony Short Bow of Asps,00089D5B
04052744,SUM_EbonyBowDisableRegeneration05,Ebony Short Bow of Atrophy,00089D5E
0405277E,SUM_EbonyBowFireHazard05,Ebony Short Bow of Blazing Blasts,00089D58
04052734,SUM_EbonyBowSunDamage06,Ebony Short Bow of Brilliance,00089D61
04052745,SUM_EbonyBowDrainArmor04,Ebony Short Bow of Buckling,00089D5E
04052788,SUM_EbonyBowLaunch05,Ebony Short Bow of Catapulting,00089D57
04052778,SUM_EbonyBowFrostHazard05,Ebony Short Bow of Chilling Blasts,00089D59
04052739,SUM_EbonyBowCmdDaedra04,Ebony Short Bow of Command,00089D61
0405275F,SUM_EbonyBowHeal06,Ebony Short Bow of Compassion,00089D5B
0405276F,SUM_EbonyBowPoisonDamage05,Ebony Short Bow of Corruption,00089D5A
04052741,SUM_EbonyBowDrainArmor05,Ebony Short Bow of Crumpling,00089D5E
04052742,SUM_EbonyBowBattleHunger05,Ebony Short Bow of Curses,00089D5E
0405277D,SUM_EbonyBowWeaknessToFire06,Ebony Short Bow of Death Fire,00089D58
04052777,SUM_EbonyBowWeaknessToFrost06,Ebony Short Bow of Death Frost,00089D59
0405276C,SUM_EbonyBowWeaknessToPoison06,Ebony Short Bow of Death Poison,00089D5A
04052756,SUM_EbonyBowWeaknessToShock06,Ebony Short Bow of Death Shocks,00089D5C
0405273A,SUM_EbonyBowDischarge04,Ebony Short Bow of Depletion,00089D61
04052732,SUM_EbonyBowDischarge06,Ebony Short Bow of Disenchantment,00089D61
0405274F,SUM_EbonyBowSlayLiving05,Ebony Short Bow of Disintegration,00089D5D
0405273D,SUM_EbonyBowDrainArmor06,Ebony Short Bow of Dismantling,00089D5E
04052751,SUM_EbonyBowShiftingEarth04,Ebony Short Bow of Druids,00089D5D
0405276D,SUM_EbonyBowBleedDamage06,Ebony Short Bow of Evisceration,00089D5A
04052771,SUM_EbonyBowBleedDamage05,Ebony Short Bow of Exsanguination,00089D5A
0405274E,SUM_EbonyBowKillstreak05,Ebony Short Bow of Extermination,00089D5D
04052780,SUM_EbonyBowFireHazard04,Ebony Short Bow of Fire Blasts,00089D58
0405277A,SUM_EbonyBowFrostHazard04,Ebony Short Bow of Freezing Blasts,00089D59
04052749,SUM_EbonyBowShiftingEarth06,Ebony Short Bow of Galen,00089D5D
04052752,SUM_EbonyBowKillstreak04,Ebony Short Bow of Gore,00089D5D
04052767,SUM_EbonyBowStealWeapons04,Ebony Short Bow of Grappling,00089D5B
04052775,SUM_EbonyBowBleedDamage04,Ebony Short Bow of Gutting,00089D5A
04052769,SUM_EbonyBowHeal04,Ebony Short Bow of Healing,00089D5B
0405273E,SUM_EbonyBowBattleHunger06,Ebony Short Bow of Hexes,00089D5E
04052762,SUM_EbonyBowStealWeapons05,Ebony Short Bow of Hooks,00089D5B
04052746,SUM_EbonyBowBattleHunger04,Ebony Short Bow of Hunger,00089D5E
0405278C,SUM_EbonyBowLaunch04,Ebony Short Bow of Hurling,00089D57
04052743,SUM_EbonyBowFireDmgLingering05,Ebony Short Bow of Ignition,00089D5E
0405273F,SUM_EbonyBowFireDmgLingering06,Ebony Short Bow of Immolation,00089D5E
0405278F,SUM_EbonyBowImprison04,Ebony Short Bow of Imprisonment,00089D56
04052795,SUM_EbonyBowInsult05,Ebony Short Bow of Indignities,00089D56
0405277C,SUM_EbonyBowFireHazard06,Ebony Short Bow of Inferno Blasts,00089D58
04052798,SUM_EbonyBowInsult04,Ebony Short Bow of Insults,00089D56
04052736,SUM_EbonyBowDischarge05,Ebony Short Bow of Interference,00089D61
04052784,SUM_EbonyBowLaunch06,Ebony Short Bow of Launching,00089D57
04052781,SUM_EbonyBowWeaknessToFire04,Ebony Short Bow of Lethal Fire,00089D58
0405277B,SUM_EbonyBowWeaknessToFrost04,Ebony Short Bow of Lethal Frost,00089D59
04052774,SUM_EbonyBowWeaknessToPoison04,Ebony Short Bow of Lethal Poison,00089D5A
0405275A,SUM_EbonyBowWeaknessToShock04,Ebony Short Bow of Lethal Shocks,00089D5C
04052757,SUM_EbonyBowShockHazard05,Ebony Short Bow of Lightning Blasts,00089D5C
04052789,SUM_EbonyBowFrenzy05,Ebony Short Bow of Mayhem,00089D57
04052764,SUM_EbonyBowHeal05,Ebony Short Bow of Mercy,00089D5B
0405276B,SUM_EbonyBowPoisonDamage06,Ebony Short Bow of Miasma,00089D5A
04052785,SUM_EbonyBowFrenzy06,Ebony Short Bow of Pandemonium,00089D57
04052791,SUM_EbonyBowImprison06,Ebony Short Bow of Penance,00089D56
04052797,SUM_EbonyBowPowerSurge04,Ebony Short Bow of Power Unbound,00089D56
04052794,SUM_EbonyBowPowerSurge05,Ebony Short Bow of Power Unfettered,00089D56
0405278E,SUM_EbonyBowPowerSurge06,Ebony Short Bow of Power Unleashed,00089D56
0405274A,SUM_EbonyBowKillstreak06,Ebony Short Bow of Prey,00089D5D
04052740,SUM_EbonyBowDisableRegeneration06,Ebony Short Bow of Putrefaction,00089D5E
0405273C,SUM_EbonyBowSunDamage04,Ebony Short Bow of Radiance,00089D61
0405278D,SUM_EbonyBowFrenzy04,Ebony Short Bow of Rage,00089D57
04052738,SUM_EbonyBowSunDamage05,Ebony Short Bow of Resplendence,00089D61
04052773,SUM_EbonyBowPoisonDamage04,Ebony Short Bow of Rot,00089D5A
0405277F,SUM_EbonyBowWeaknessToFire05,Ebony Short Bow of Ruinous Fire,00089D58
04052779,SUM_EbonyBowWeaknessToFrost05,Ebony Short Bow of Ruinous Frost,00089D59
04052770,SUM_EbonyBowWeaknessToPoison05,Ebony Short Bow of Ruinous Poison,00089D5A
04052758,SUM_EbonyBowWeaknessToShock05,Ebony Short Bow of Ruinous Shock,00089D5C
04052792,SUM_EbonyBowInsult06,Ebony Short Bow of Scorn,00089D56
04052786,SUM_EbonyBowBlindness05,Ebony Short Bow of Shadows,00089D57
04052747,SUM_EbonyBowFireDmgLingering04,Ebony Short Bow of Smoldering,00089D5E
0405275D,SUM_EbonyBowStealWeapons06,Ebony Short Bow of Snatching,00089D5B
04052755,SUM_EbonyBowShockHazard06,Ebony Short Bow of Storm Blasts,00089D5C
04052750,SUM_EbonyBowPrimal05,Ebony Short Bow of the All-Maker,00089D5D
04052783,SUM_EbonyBowDeathsDoor06,Ebony Short Bow of the Broken Crown,00089D57
04052790,SUM_EbonyBowImprison05,Ebony Short Bow of the Dungeon,00089D56
04052782,SUM_EbonyBowBlindness06,Ebony Short Bow of the Eyeless,00089D57
0405278B,SUM_EbonyBowDeathsDoor04,Ebony Short Bow of the Fates,00089D57
04052772,SUM_EbonyBowRoulette04,Ebony Short Bow of the Fool,00089D5A
0405276E,SUM_EbonyBowRoulette05,Ebony Short Bow of the Jester,00089D5A
0405278A,SUM_EbonyBowBlindness04,Ebony Short Bow of the Night,00089D57
04052754,SUM_EbonyBowPrimal04,Ebony Short Bow of the Skaal,00089D5D
0405274D,SUM_EbonyBowShiftingEarth05,Ebony Short Bow of the Standing Stones,00089D5D
04052735,SUM_EbonyBowCmdDaedra05,Ebony Short Bow of the Summoner,00089D61
04052731,SUM_EbonyBowCmdDaedra06,Ebony Short Bow of the Warlock,00089D61
0405274C,SUM_EbonyBowPrimal06,Ebony Short Bow of the World,00089D5D
04052787,SUM_EbonyBowDeathsDoor05,Ebony Short Bow of the Wyress,00089D57
04052759,SUM_EbonyBowShockHazard04,Ebony Short Bow of Thunder Blasts,00089D5C
04052768,SUM_EbonyBowHiddenSerpent04,Ebony Short Bow of Vipers,00089D5B
04052748,SUM_EbonyBowDisableRegeneration04,Ebony Short Bow of Wilting,00089D5E
04052776,SUM_EbonyBowFrostHazard06,Ebony Short Bow of Winter Blasts,00089D59
04052B86,SUM_ElvenBowHiddenSerpent05,Elven Short Bow of Adders,0008CAD3
04052B77,SUM_ElvenBowSlayLiving04,Elven Short Bow of Ashes,0001D291
04051A67,SUM_ElvenBowDisableRegeneration05,Elven Short Bow of Atrophy,0001D292
04051A6C,SUM_ElvenBowDrainArmor03,Elven Short Bow of Bending,0001D292
04052BAB,SUM_ElvenBowBlindness03,Elven Short Bow of Blackness,0001D28C
04052B9D,SUM_ElvenBowFireHazard05,Elven Short Bow of Blazing Blasts,0001D28D
04052B96,SUM_ElvenBowPoisonDmg03,Elven Short Bow of Blight,0001D28F
04051A68,SUM_ElvenBowDrainArmor04,Elven Short Bow of Buckling,0001D292
04052B7A,SUM_ElvenBowKillstreak03,Elven Short Bow of Butchery,0001D291
04052BA5,SUM_ElvenBowLaunch05,Elven Short Bow of Catapulting,0001D28C
04052B99,SUM_ElvenBowFrostHazard05,Elven Short Bow of Chilling Blasts,0001D28E
04051A5C,SUM_ElvenBowCmdDaedra04,Elven Short Bow of Command,0001D293
04052B8E,SUM_ElvenBowPoisonDmg05,Elven Short Bow of Corruption,0001D28F
04051A64,SUM_ElvenBowDrainArmor05,Elven Short Bow of Crumpling,0001D292
04051A65,SUM_ElvenBowBattleHunger05,Elven Short Bow of Curses,0001D292
04052BA2,SUM_ElvenBowWeaknessToFire03,Elven Short Bow of Deadly Fire,0001D28D
04052B9C,SUM_ElvenBowWeaknessToFrost03,Elven Short Bow of Deadly Frost,0001D28E
04052B97,SUM_ElvenBowWeaknessToPoison03,Elven Short Bow of Deadly Poison,0001D28F
04052B82,SUM_ElvenBowWeaknessToShock03,Elven Short Bow of Deadly Shocks,0001D290
04051A5D,SUM_ElvenBowDischarge04,Elven Short Bow of Depletion,0001D293
04052B73,SUM_ElvenBowSlayLiving05,Elven Short Bow of Disintegration,0001D291
04052B75,SUM_ElvenBowShiftingEarth04,Elven Short Bow of Druids,0001D291
04052B7B,SUM_ElvenBowSlayLiving03,Elven Short Bow of Dust,0001D291
04052B90,SUM_ElvenBowBleedDamage05,Elven Short Bow of Exsanguination,0001D28F
04052B72,SUM_ElvenBowKillstreak05,Elven Short Bow of Extermination,0001D291
04052B9F,SUM_ElvenBowFireHazard04,Elven Short Bow of Fire Blasts,0001D28D
04052B95,SUM_ElvenBowRoulette03,Elven Short Bow of Fortune,0001D28F
040516C5,SUM_ElvenBowFrostHazard04,Elven Short Bow of Freezing Blasts,0001D28E
04051A71,SUM_ElvenBowLaunch03,Elven Short Bow of Giants,0001D28C
04052B76,SUM_ElvenBowKillstreak04,Elven Short Bow of Gore,0001D291
04052B8A,SUM_ElvenBowStealWeapons04,Elven Short Bow of Grappling,0008CAD3
04052B94,SUM_ElvenBowBleedDamage04,Elven Short Bow of Gutting,0001D28F
04051A72,SUM_ElvenBowFrenzy03,Elven Short Bow of Havoc,0001D28C
04052B8C,SUM_ElvenBowHeal04,Elven Short Bow of Healing,0008CAD3
04052B98,SUM_ElvenBowBleedDamage03,Elven Short Bow of Hemorrhaging,0001D28F
04052B85,SUM_ElvenBowStealWeapons05,Elven Short Bow of Hooks,0008CAD3
04051A69,SUM_ElvenBowBattleHunger04,Elven Short Bow of Hunger,0001D292
04052BA9,SUM_ElvenBowLaunch04,Elven Short Bow of Hurling,0001D28C
04052B9B,SUM_ElvenBowFrostHazard03,Elven Short Bow of Ice Blasts,0001D28E
04051A66,SUM_ElvenBowFireDmgLingering05,Elven Short Bow of Ignition,0001D292
04051A74,SUM_ElvenBowInsult05,Elven Short Bow of Indignities,0008CAE7
04051A77,SUM_ElvenBowInsult04,Elven Short Bow of Insults,0008CAE7
04051A59,SUM_ElvenBowDischarge05,Elven Short Bow of Interference,0001D293
04051A6D,SUM_ElvenBowBattleHunger03,Elven Short Bow of Jinxes,0001D292
04052BA0,SUM_ElvenBowWeaknessToFire04,Elven Short Bow of Lethal Fire,0001D28D
040516C6,SUM_ElvenBowWeaknessToFrost04,Elven Short Bow of Lethal Frost,0001D28E
04052B93,SUM_ElvenBowWeaknessToPoison04,Elven Short Bow of Lethal Poison,0001D28F
04052B80,SUM_ElvenBowWeaknessToShock04,Elven Short Bow of Lethal Shocks,0001D290
04052B7D,SUM_ElvenBowShockHazard05,Elven Short Bow of Lightning Blasts,0001D290
04052BA6,SUM_ElvenBowFrenzy05,Elven Short Bow of Mayhem,0001D28C
04052B87,SUM_ElvenBowHeal05,Elven Short Bow of Mercy,0008CAD3
04052BAC,SUM_ElvenBowDeathsDoor03,Elven Short Bow of Mortality,0001D28C
04051A63,SUM_ElvenBowSunDamage03,Elven Short Bow of Noon,0001D293
04051A6E,SUM_ElvenBowFireDmgLingering03,Elven Short Bow of Pain,0001D292
04051A76,SUM_ElvenBowPowerSurge04,Elven Short Bow of Power Unbound,0008CAE7
04051A73,SUM_ElvenBowPowerSurge05,Elven Short Bow of Power Unfettered,0008CAE7
04051A5F,SUM_ElvenBowSunDamage04,Elven Short Bow of Radiance,0001D293
04052BAA,SUM_ElvenBowFrenzy04,Elven Short Bow of Rage,0001D28C
04051A5B,SUM_ElvenBowSunDamage05,Elven Short Bow of Resplendence,0001D293
